GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014
0100000US,,United States,310M200US18140,18140,"United States - Columbus, OH Metro Area","Columbus, OH Metro Area",1901974,1902015,1906177,1925540,1945659,1969032,1994536
0100000US,,United States,310M200US18580,18580,"United States - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",428185,428188,428026,431051,437012,443448,448108
0100000US,,United States,310M200US18700,18700,"United States - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85579,85581,85531,85983,86380,85960,86316
0100000US,,United States,310M200US18880,18880,"United States - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,236006,238954,247712,253309,258042
0100000US,,United States,310M200US19060,19060,"United States - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103299,103299,103236,102620,101816,101238,100530
0100000US,,United States,310M200US19100,19100,"United States - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426210,6452725,6574866,6710066,6823113,6954330
0100000US,,United States,314M200US1910019124,1910019124,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Dallas-Plano-Irving, TX Metro Division","Dallas-Plano-Irving, TX Metro Division",4230520,4230013,4248448,4336015,4432840,4511487,4604097
0100000US,,United States,314M200US1910023104,1910023104,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Fort Worth-Arlington, TX Metro Division","Fort Worth-Arlington, TX Metro Division",2195694,2196197,2204277,2238851,2277226,2311626,2350233
0100000US,,United States,310M200US19140,19140,"United States - Dalton, GA Metro Area","Dalton, GA Metro Area",142227,142227,142317,142504,142581,142385,142952
0100000US,,United States,310M200US19180,19180,"United States - Danville, IL Metro Area","Danville, IL Metro Area",81625,81625,81595,81358,80764,80418,79728
0100000US,,United States,310M200US19300,19300,"United States - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183216,186694,190561,195443,200111
0100000US,,United States,310M200US19340,19340,"United States - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,380241,380926,382139,383230,383030
0100000US,,United States,310M200US19380,19380,"United States - Dayton, OH Metro Area","Dayton, OH Metro Area",799232,799216,800245,801334,802234,801645,800836
0100000US,,United States,310M200US19460,19460,"United States - Decatur, AL Metro Area","Decatur, AL Metro Area",153829,153825,153863,153914,153833,153199,153084
0100000US,,United States,310M200US19500,19500,"United States - Decatur, IL Metro Area","Decatur, IL Metro Area",110768,110768,110757,110582,110043,109435,108350
0100000US,,United States,310M200US19660,19660,"United States - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590293,590678,591753,595602,601151,609939
0100000US,,United States,310M200US19740,19740,"United States - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2543482,2543594,2554335,2600843,2647780,2699750,2754258
0100000US,,United States,310M200US19780,19780,"United States - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",569633,569633,571883,580741,589453,600086,611549
0100000US,,United States,310M200US19820,19820,"United States - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4296250,4296313,4291176,4287145,4292912,4295394,4296611
0100000US,,United States,314M200US1982019804,1982019804,"United States - Detroit-Warren-Dearborn, MI Metro Area - Detroit-Dearborn-Livonia, MI Metro Division","Detroit-Dearborn-Livonia, MI Metro Division",1820584,1820641,1815497,1801614,1792770,1775703,1764804
0100000US,,United States,314M200US1982047664,1982047664,"United States - Detroit-Warren-Dearborn, MI Metro Area - Warren-Troy-Farmington Hills, MI Metro Division","Warren-Troy-Farmington Hills, MI Metro Division",2475666,2475672,2475679,2485531,2500142,2519691,2531807
0100000US,,United States,310M200US20020,20020,"United States - Dothan, AL Metro Area","Dothan, AL Metro Area",145639,145639,145867,146655,147618,147592,148095
0100000US,,United States,310M200US20100,20100,"United States - Dover, DE Metro Area","Dover, DE Metro Area",162310,162344,162954,165214,167666,169562,171987
0100000US,,United States,310M200US20220,20220,"United States - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93653,93653,93893,94507,95147,95912,96370
0100000US,,United States,310M200US20260,20260,"United States - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279771,279771,279789,279907,279614,279942,280218
0100000US,,United States,310M200US20500,20500,"United States - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",504357,506634,508063,515828,525026,533622,542710
0100000US,,United States,310M200US20700,20700,"United States - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169842,169842,169940,169860,168465,167130,166314
0100000US,,United States,310M200US20740,20740,"United States - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161151,161390,161633,162838,163891,164903,165024
0100000US,,United States,310M200US20940,20940,"United States - El Centro, CA Metro Area","El Centro, CA Metro Area",174528,174528,174779,176300,177443,177517,179091
0100000US,,United States,310M200US21060,21060,"United States - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",148338,148339,149897,151295,150413,151395,151585
0100000US,,United States,310M200US21140,21140,"United States - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197559,197561,197441,198480,199236,200591,201971
0100000US,,United States,310M200US21300,21300,"United States - Elmira, NY Metro Area","Elmira, NY Metro Area",88830,88830,88947,88973,89231,88485,87770
0100000US,,United States,310M200US21340,21340,"United States - El Paso, TX Metro Area","El Paso, TX Metro Area",804123,804123,807089,823134,834477,834630,836698
0100000US,,United States,310M200US21500,21500,"United States - Erie, PA Metro Area","Erie, PA Metro Area",280566,280566,280720,280938,280801,279760,278443
0100000US,,United States,310M200US21660,21660,"United States - Eugene, OR Metro Area","Eugene, OR Metro Area",351715,351715,351852,353491,354481,355661,358337
0100000US,,United States,310M200US21780,21780,"United States - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311552,311552,311778,312589,313298,314429,315162
0100000US,,United States,310M200US21820,21820,"United States - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",97581,97581,98174,98029,100227,100807,99357
0100000US,,United States,310M200US22020,22020,"United States - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",208777,208777,209423,212835,217052,223853,228291
0100000US,,United States,310M200US22140,22140,"United States - Farmington, NM Metro Area","Farmington, NM Metro Area",130044,130045,130155,128035,128367,126448,123785
0100000US,,United States,310M200US22180,22180,"United States - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",366383,366383,367727,373329,373566,377619,377939
0100000US,,United States,310M200US22220,22220,"United States - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463207,465699,474222,483029,492375,501653
0100000US,,United States,310M200US22380,22380,"United States - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134421,134437,134603,134159,135949,136690,137682
0100000US,,United States,310M200US22420,22420,"United States - Flint, MI Metro Area","Flint, MI Metro Area",425790,425790,424976,421716,418058,415623,412895
0100000US,,United States,310M200US22500,22500,"United States - Florence, SC Metro Area","Florence, SC Metro Area",205566,205571,205713,205746,206225,206380,207030
0100000US,,United States,310M200US22520,22520,"United States - Florence-Muscle Shoals, AL Metro Area","Florence-Muscle Shoals, AL Metro Area",147137,147137,147231,147042,147167,147273,147639
0100000US,,United States,310M200US22540,22540,"United States - Fond du Lac, WI Metro Area","Fond du Lac, WI Metro Area",101633,101633,101645,101792,101702,101648,101759
0100000US,,United States,310M200US22660,22660,"United States - Fort Collins, CO Metro Area","Fort Collins, CO Metro Area",299630,299630,300484,305241,310835,316494,324122
0100000US,,United States,310M200US22900,22900,"United States - Fort Smith, AR-OK Metro Area","Fort Smith, AR-OK Metro Area",280467,280515,280729,281012,280704,279930,279592
0100000US,,United States,310M200US23060,23060,"United States - Fort Wayne, IN Metro Area","Fort Wayne, IN Metro Area",416257,416255,416850,419757,421780,424570,427183
0100000US,,United States,310M200US23420,23420,"United States - Fresno, CA Metro Area","Fresno, CA Metro Area",930450,930452,932642,941260,948240,956102,965974
0100000US,,United States,310M200US23460,23460,"United States - Gadsden, AL Metro Area","Gadsden, AL Metro Area",104430,104427,104501,104310,104324,103962,103531
0100000US,,United States,310M200US23540,23540,"United States - Gainesville, FL Metro Area","Gainesville, FL Metro Area",264275,264274,264667,266691,268585,270216,273377
0100000US,,United States,310M200US23580,23580,"United States - Gainesville, GA Metro Area","Gainesville, GA Metro Area",179684,179684,180034,182954,185084,187759,190761
0100000US,,United States,310M200US23900,23900,"United States - Gettysburg, PA Metro Area","Gettysburg, PA Metro Area",101407,101413,101470,101649,101538,101457,101714
0100000US,,United States,310M200US24020,24020,"United States - Glens Falls, NY Metro Area","Glens Falls, NY Metro Area",128923,128921,128991,128782,128476,127898,127345
0100000US,,United States,310M200US24140,24140,"United States - Goldsboro, NC Metro Area","Goldsboro, NC Metro Area",122623,122623,122888,124022,124504,124596,124456
0100000US,,United States,310M200US24220,24220,"United States - Grand Forks, ND-MN Metro Area","Grand Forks, ND-MN Metro Area",98461,98461,98605,98195,99214,101014,101842
0100000US,,United States,310M200US24260,24260,"United States - Grand Island, NE Metro Area","Grand Island, NE Metro Area",81850,81850,82043,82683,83462,84187,84755
0100000US,,United States,310M200US24300,24300,"United States - Grand Junction, CO Metro Area","Grand Junction, CO Metro Area",146723,146723,146485,147380,147724,147699,148255
0100000US,,United States,310M200US24340,24340,"United States - Grand Rapids-Wyoming, MI Metro Area","Grand Rapids-Wyoming, MI Metro Area",988938,988940,989205,996355,1006131,1017247,1027703
0100000US,,United States,310M200US24420,24420,"United States - Grants Pass, OR Metro Area","Grants Pass, OR Metro Area",82713,82713,82835,82618,82782,83271,83599
0100000US,,United States,310M200US24500,24500,"United States - Great Falls, MT Metro Area","Great Falls, MT Metro Area",81327,81327,81506,81747,81765,82404,82344
0100000US,,United States,310M200US24540,24540,"United States - Greeley, CO Metro Area","Greeley, CO Metro Area",252825,252837,254173,258737,264189,270560,277670
0100000US,,United States,310M200US24580,24580,"United States - Green Bay, WI Metro Area","Green Bay, WI Metro Area",306241,306241,306712,308763,311052,312573,314531
0100000US,,United States,310M200US24660,24660,"United States - Greensboro-High Point, NC Metro Area","Greensboro-High Point, NC Metro Area",723801,723798,725040,730077,735866,741314,746593
0100000US,,United States,310M200US24780,24780,"United States - Greenville, NC Metro Area","Greenville, NC Metro Area",168148,168148,168826,170763,172895,174351,175354
0100000US,,United States,310M200US24860,24860,"United States - Greenville-Anderson-Mauldin, SC Metro Area","Greenville-Anderson-Mauldin, SC Metro Area",824112,824107,825765,833417,842037,850406,862463
0100000US,,United States,310M200US25060,25060,"United States - Gulfport-Biloxi-Pascagoula, MS Metro Area","Gulfport-Biloxi-Pascagoula, MS Metro Area",370702,370787,371524,375762,378970,382458,386144
0100000US,,United States,310M200US25180,25180,"United States - Hagerstown-Martinsburg, MD-WV Metro Area","Hagerstown-Martinsburg, MD-WV Metro Area",251599,251602,252408,254533,256224,257950,260070
0100000US,,United States,310M200US25220,25220,"United States - Hammond, LA Metro Area","Hammond, LA Metro Area",121097,121101,121572,122727,123767,125508,127049
0100000US,,United States,310M200US25260,25260,"United States - Hanford-Corcoran, CA Metro Area","Hanford-Corcoran, CA Metro Area",152982,152982,152418,152063,151340,150862,150269
0100000US,,United States,310M200US25420,25420,"United States - Harrisburg-Carlisle, PA Metro Area","Harrisburg-Carlisle, PA Metro Area",549475,549473,550258,551935,554827,557906,560849
0100000US,,United States,310M200US25500,25500,"United States - Harrisonburg, VA Metro Area","Harrisonburg, VA Metro Area",125228,125217,125426,126920,128599,129233,130649
0100000US,,United States,310M200US25540,25540,"United States - Hartford-West Hartford-East Hartford, CT Metro Area","Hartford-West Hartford-East Hartford, CT Metro Area",1212381,1212387,1214021,1216393,1215143,1215943,1214295
0100000US,,United States,310M200US25620,25620,"United States - Hattiesburg, MS Metro Area","Hattiesburg, MS Metro Area",142842,142857,143336,145298,146713,147846,148656
0100000US,,United States,310M200US25860,25860,"United States - Hickory-Lenoir-Morganton, NC Metro Area","Hickory-Lenoir-Morganton, NC Metro Area",365497,365492,365305,364392,363711,363373,362896
0100000US,,United States,310M200US25940,25940,"United States - Hilton Head Island-Bluffton-Beaufort, SC Metro Area","Hilton Head Island-Bluffton-Beaufort, SC Metro Area",187010,187010,187898,189524,193755,198279,203022
0100000US,,United States,310M200US25980,25980,"United States - Hinesville, GA Metro Area","Hinesville, GA Metro Area",77917,77917,77365,80358,81552,80698,82311
